FrameSequence,TimestampUnixMs,CellCount,Pos00_Amp,Pos00_Phase,Pos00_X,Pos00_Y,Pos00_SourceChannel,Pos01_Amp,Pos01_Phase,Pos01_X,Pos01_Y,Pos01_SourceChannel,Pos02_Amp,Pos02_Phase,Pos02_X,Pos02_Y,Pos02_SourceChannel,Pos03_Amp,Pos03_Phase,Pos03_X,Pos03_Y,Pos03_SourceChannel,Pos04_Amp,Pos04_Phase,Pos04_X,Pos04_Y,Pos04_SourceChannel,Pos05_Amp,Pos05_Phase,Pos05_X,Pos05_Y,Pos05_SourceChannel,Pos06_Amp,Pos06_Phase,Pos06_X,Pos06_Y,Pos06_SourceChannel,Pos07_Amp,Pos07_Phase,Pos07_X,Pos07_Y,Pos07_SourceChannel,Pos08_Amp,Pos08_Phase,Pos08_X,Pos08_Y,Pos08_SourceChannel,Pos09_Amp,Pos09_Phase,Pos09_X,Pos09_Y,Pos09_SourceChannel,Pos10_Amp,Pos10_Phase,Pos10_X,Pos10_Y,Pos10_SourceChannel,Pos11_Amp,Pos11_Phase,Pos11_X,Pos11_Y,Pos11_SourceChannel,Pos12_Amp,Pos12_Phase,Pos12_X,Pos12_Y,Pos12_SourceChannel,Pos13_Amp,Pos13_Phase,Pos13_X,Pos13_Y,Pos13_SourceChannel,Pos14_Amp,Pos14_Phase,Pos14_X,Pos14_Y,Pos14_SourceChannel,Pos15_Amp,Pos15_Phase,Pos15_X,Pos15_Y,Pos15_SourceChannel,Pos16_Amp,Pos16_Phase,Pos16_X,Pos16_Y,Pos16_SourceChannel,Pos17_Amp,Pos17_Phase,Pos17_X,Pos17_Y,Pos17_SourceChannel,Pos18_Amp,Pos18_Phase,Pos18_X,Pos18_Y,Pos18_SourceChannel,Pos19_Amp,Pos19_Phase,Pos19_X,Pos19_Y,Pos19_SourceChannel,Pos20_Amp,Pos20_Phase,Pos20_X,Pos20_Y,Pos20_SourceChannel,Pos21_Amp,Pos21_Phase,Pos21_X,Pos21_Y,Pos21_SourceChannel,Pos22_Amp,Pos22_Phase,Pos22_X,Pos22_Y,Pos22_SourceChannel,Pos23_Amp,Pos23_Phase,Pos23_X,Pos23_Y,Pos23_SourceChannel,Pos24_Amp,Pos24_Phase,Pos24_X,Pos24_Y,Pos24_SourceChannel,Pos25_Amp,Pos25_Phase,Pos25_X,Pos25_Y,Pos25_SourceChannel,Pos26_Amp,Pos26_Phase,Pos26_X,Pos26_Y,Pos26_SourceChannel,Pos27_Amp,Pos27_Phase,Pos27_X,Pos27_Y,Pos27_SourceChannel,Pos28_Amp,Pos28_Phase,Pos28_X,Pos28_Y,Pos28_SourceChannel,Pos29_Amp,Pos29_Phase,Pos29_X,Pos29_Y,Pos29_SourceChannel,Pos30_Amp,Pos30_Phase,Pos30_X,Pos30_Y,Pos30_SourceChannel,Pos31_Amp,Pos31_Phase,Pos31_X,Pos31_Y,Pos31_SourceChannel,Pos32_Amp,Pos32_Phase,Pos32_X,Pos32_Y,Pos32_SourceChannel,Pos33_Amp,Pos33_Phase,Pos33_X,Pos33_Y,Pos33_SourceChannel,Pos34_Amp,Pos34_Phase,Pos34_X,Pos34_Y,Pos34_SourceChannel,Pos35_Amp,Pos35_Phase,Pos35_X,Pos35_Y,Pos35_SourceChannel,Pos36_Amp,Pos36_Phase,Pos36_X,Pos36_Y,Pos36_SourceChannel,Pos37_Amp,Pos37_Phase,Pos37_X,Pos37_Y,Pos37_SourceChannel,Pos38_Amp,Pos38_Phase,Pos38_X,Pos38_Y,Pos38_SourceChannel,Pos39_Amp,Pos39_Phase,Pos39_X,Pos39_Y,Pos39_SourceChannel
1537,1775719406180,40,0.025204,79.9643,0.0043920935,0.024818363,10,0.009383763,2.7199116,0.009373192,0.0004452932,0,0.006011905,-94.50655,-0.00047237452,-0.0059933183,30,0.0059720445,-62.75255,0.0027342073,-0.0053093717,20,0.010636015,79.16578,0.0019992306,0.01044643,11,0.010554285,94.579285,-0.00084263826,0.010520594,1,0.0066526104,124.36034,-0.0037547047,0.005491759,31,0.0061994405,-19.391111,0.005847772,-0.002058306,21,0.009179273,77.808014,0.0019385532,0.008972238,12,0.015197828,107.39641,-0.0045438614,0.014502665,2,0.012590315,128.77904,-0.007885549,0.009814996,32,0.0036889531,155.5281,-0.0033575543,0.0015281372,22,0.025119757,91.26166,-0.0005530949,0.025113666,13,0.009251489,132.63344,-0.006266084,0.0068063387,3,0.0037366499,164.19356,-0.0035953573,0.0010178201,33,0.0016420868,139.88385,-0.001255769,0.0010580609,23,0.0149634015,95.405594,-0.0014096352,0.014896856,14,0.0119263865,94.536575,-0.0009433233,0.011889022,4,0.0062241876,136.2854,-0.004498787,0.004301328,34,0.01592776,100.046906,-0.002778666,0.015683511,24,0.017481888,108.01556,-0.005406714,0.016624797,15,0.018697154,126.62816,-0.011155083,0.015004923,5,0.004101936,91.428894,-0.00010228697,0.0041006603,35,0.0037076331,-59.185474,0.0018992744,-0.0031842268,25,0.009556928,110.87344,-0.0034051803,0.008929703,16,0.0013438404,-42.895576,0.0009844913,-0.00091470423,6,0.0051079057,117.08199,-0.0023254512,0.0045478544,36,0.0009429315,73.0667,0.00027463655,0.00090205023,26,0.0068498915,122.157394,-0.0036458338,0.005799044,17,0.020008698,106.985176,-0.0058450266,0.019135926,7,0.022930155,125.03224,-0.013162765,0.018775878,37,0.009678956,104.55093,-0.0024317454,0.009368501,27,0.007441834,83.94352,0.0007851788,0.0074002966,18,0.021769276,114.41169,-0.00899703,0.019823087,8,0.033225372,109.87658,-0.011296464,0.031246044,38,0.00344249,52.839203,0.0020794496,0.0027434698,28,0.015763545,123.609924,-0.008725687,0.01312828,19,0.012467174,116.78719,-0.0056186807,0.011129279,9,0.015362329,105.999756,-0.0042343694,0.014767236,39,0.0040552435,78.572395,0.0008034637,0.0039748517,29
1538,1775719406218,40,0.02959374,81.03517,0.0046115387,0.029232228,10,0.0077514374,0.93920666,0.007750396,0.00012705779,0,0.0057991114,-110.95018,-0.0020735075,-0.005415742,30,0.004229682,-54.990604,0.002426614,-0.003464355,20,0.01348583,83.21963,0.0015921893,0.013391511,11,0.010348679,88.19941,0.00032516685,0.010343568,1,0.008015092,123.43192,-0.004415882,0.0066889236,31,0.0061191875,18.295876,0.005809851,0.0019209605,21,0.010420773,73.89415,0.002890856,0.010011766,12,0.012619891,110.817726,-0.0044850614,0.011796011,2,0.015301754,117.41528,-0.007045487,0.013583253,32,0.006441003,135.60832,-0.004602575,0.0045058657,22,0.024941856,91.35038,-0.0005877882,0.024934929,13,0.009149836,122.55791,-0.004924,0.0077119214,3,0.0032119309,-176.11841,-0.003204563,-0.00021743096,33,0.0036977155,120.26146,-0.0018634516,0.0031938453,23,0.017198311,93.00163,-0.000900579,0.017174715,14,0.011457472,104.75392,-0.002917853,0.0110797025,4,0.0063766898,146.64275,-0.005326183,0.0035062723,34,0.019121733,101.6836,-0.0038722842,0.018725546,24,0.020961806,104.99005,-0.005421799,0.020248491,15,0.019468686,125.819016,-0.011393597,0.015786568,5,0.0055074305,115.29024,-0.002352795,0.0049795727,35,0.0020420302,13.907041,0.0019821723,0.0004907965,25,0.011027473,104.81542,-0.002819791,0.01066086,16,0.0019064548,60.631485,0.00093497295,0.0016614437,6,0.0044893255,130.43874,-0.0029119316,0.0034168258,36,0.0019743429,86.7544,0.000111779555,0.0019711761,26,0.008379105,124.49858,-0.0047458066,0.0069055567,17,0.01627249,114.40022,-0.0067222947,0.014819065,7,0.025703808,123.41889,-0.014156526,0.021454103,37,0.009346289,98.60856,-0.0013989807,0.009240994,27,0.008284678,99.55265,-0.0013748746,0.008169798,18,0.023866266,108.624725,-0.007622128,0.022616405,8,0.033758145,109.90802,-0.011495025,0.031740773,38,0.0019054482,31.271227,0.0016286239,0.0009890989,28,0.017645516,115.42874,-0.007576777,0.015936017,19,0.013448596,119.40918,-0.006603843,0.011715544,9,0.014012966,109.28415,-0.0046278276,0.013226733,39,0.005102227,77.65716,0.0010906566,0.004984294,29
1539,1775719406246,40,0.03308908,83.60177,0.0036873901,0.03288298,10,0.006709778,-0.68699634,0.006709296,-8.045064E-05,0,0.0069931955,-119.1334,-0.0034046,-0.0061084763,30,0.004845806,-61.31113,0.002326244,-0.0042509325,20,0.016378209,85.772415,0.0012073733,0.016333645,11,0.013384051,91.23101,-0.00028753708,0.0133809615,1,0.0076673767,121.74035,-0.004033582,0.0065206503,31,0.0067968643,28.243746,0.005987646,0.003216436,21,0.010712924,80.36095,0.0017937811,0.01056168,12,0.01353492,110.883,-0.0048246686,0.012645815,2,0.016778968,107.408195,-0.005019887,0.01601045,32,0.0072854077,149.51498,-0.0062782867,0.0036959813,22,0.023950983,97.3877,-0.0030796835,0.023752162,13,0.010135963,112.182365,-0.003826891,0.009385768,3,0.0035891852,-167.54274,-0.0035046856,-0.0007742281,33,0.0042353724,132.85516,-0.0028806778,0.0031048472,23,0.019209575,97.648735,-0.0025567838,0.019038662,14,0.011458316,118.06499,-0.0053908257,0.010110984,4,0.007437934,152.05656,-0.00657075,0.0034854137,34,0.019567296,107.5374,-0.005896179,0.018657818,24,0.026534772,102.43795,-0.005715116,0.025911996,15,0.019723961,122.82914,-0.010693063,0.016573867,5,0.0058861263,131.05798,-0.0038661403,0.0044384054,35,0.0026258812,42.065067,0.0019494133,0.0017592724,25,0.016486166,100.09728,-0.0028903552,0.01623082,16,0.0014949719,-62.077263,0.00070006616,-0.001320927,6,0.0043401094,128.45006,-0.00269882,0.0033989586,36,0.0018614805,53.350765,0.0011111448,0.0014934748,26,0.012242721,113.21714,-0.0048262863,0.0112512745,17,0.015917784,121.48395,-0.008313216,0.013574472,7,0.025935316,122.57869,-0.013965063,0.021854464,37,0.008829822,90.65065,-0.00010026922,0.008829252,27,0.012250239,114.813576,-0.0051410226,0.0111192735,18,0.026940761,104.57887,-0.006781326,0.026073324,8,0.033963498,111.24415,-0.01230643,0.031655505,38,0.0016477496,-100.2571,-0.00029340753,-0.0016214163,28,0.023084035,108.59803,-0.0073621157,0.021878572,19,0.014989825,117.322784,-0.0068803737,0.013317482,9,0.0131844515,109.59187,-0.0044209836,0.012421138,39,0.007326846,91.33006,-0.00017007018,0.007324872,29
1540,1775719406271,40,0.03498218,86.414055,0.0021879831,0.03491369,10,0.006695894,2.2173936,0.0066908803,0.00025907188,0,0.008919059,-113.82288,-0.0036025036,-0.008159141,30,0.0061133695,-63.673515,0.002711191,-0.0054793,20,0.017869432,82.385056,0.0023679668,0.01771184,11,0.012278142,86.4565,0.0007588678,0.012254668,1,0.004903723,130.52122,-0.0031860948,0.0037276403,31,0.006864975,37.602024,0.005438901,0.0041888235,21,0.010866024,83.780266,0.001177244,0.010802063,12,0.00981034,125.53106,-0.0057012215,0.00798366,2,0.014971859,100.170364,-0.0026436658,0.014736607,32,0.009332612,171.59152,-0.009232293,0.0013647022,22,0.02063574,103.467476,-0.0048059267,0.020068306,13,0.011499958,99.33719,-0.0018658029,0.01134759,3,0.0038856503,-158.96962,-0.0036268285,-0.0013944154,33,0.0038472542,161.08641,-0.0036395353,0.0012470558,23,0.018171687,101.53464,-0.0036336172,0.017804692,14,0.011538937,118.35749,-0.005480665,0.010154279,4,0.007039896,160.80429,-0.006648485,0.002314689,34,0.020735813,114.898705,-0.008730094,0.018808492,24,0.026224585,101.210945,-0.005098629,0.025724169,15,0.018435314,119.86522,-0.0091800755,0.015987089,5,0.003909684,150.73589,-0.0034107128,0.001911195,35,0.0020345023,22.80873,0.0018754125,0.0007886871,25,0.015766254,98.75246,-0.002399085,0.015582656,16,0.000825656,137.01169,-0.0006039614,0.0005629729,6,0.0038603756,120.72701,-0.0019724523,0.003318423,36,0.0013677791,10.44336,0.0013451212,0.00024792834,26,0.013114907,104.23237,-0.0032243654,0.012712366,17,0.011974127,143.68497,-0.009648428,0.0070913723,7,0.020646852,123.1616,-0.011293875,0.017284121,37,0.008887637,86.081406,0.00060737325,0.00886686,27,0.012333369,132.406,-0.008317374,0.009106771,18,0.027981728,101.69422,-0.0056715766,0.027400918,8,0.029584242,110.51412,-0.010367449,0.027708182,38,0.00707831,-112.1399,-0.002667598,-0.006556401,28,0.022976855,100.95565,-0.0043667303,0.022558093,19,0.014487763,115.686615,-0.0062797,0.0130560575,9,0.010609167,107.334206,-0.0031609458,0.010127331,39,0.010600904,107.30169,-0.0031527407,0.010121235,29
1541,1775719406294,40,0.03518114,88.792274,0.0007415225,0.035173323,10,0.0067270827,6.052289,0.0066895867,0.00070927694,0,0.0072912485,-120.1536,-0.0036625396,-0.0063046105,30,0.0037368645,-56.912018,0.0020400523,-0.0031308692,20,0.019657472,78.545235,0.0039038602,0.01926593,11,0.013703448,87.72652,0.00054360717,0.013692661,1,0.0029835615,170.55519,-0.0029431167,0.0004895951,31,0.00702456,54.82294,0.004046885,0.0057417043,21,0.01314913,89.02778,0.00022310924,0.013147237,12,0.010478614,123.796455,-0.0058286684,0.008707927,2,0.014906121,95.08658,-0.0013215903,0.014847419,32,0.013458411,167.23665,-0.013125866,0.0029732957,22,0.019204792,105.16966,-0.005025474,0.018535605,13,0.012475827,94.32333,-0.0009404882,0.012440328,3,0.0032268374,-176.78604,-0.003221762,-0.00018091167,33,0.004120696,145.63983,-0.0034016594,0.002325693,23,0.017692093,104.92955,-0.0045580342,0.017094867,14,0.011225519,111.418304,-0.00409927,0.010450276,4,0.0068047824,172.6043,-0.0067481725,0.0008759195,34,0.027747493,123.09983,-0.015152893,0.02324464,24,0.024083816,103.28614,-0.005534806,0.023439199,15,0.017475214,124.460075,-0.0098880315,0.014408675,5,0.0036618933,151.89763,-0.0032301834,0.0017249285,35,0.0020936402,64.32841,0.00090699055,0.0018869808,25,0.0138908755,105.85176,-0.0037942848,0.0133626275,16,0.0011078287,-135.2386,-0.0007866085,-0.0007800843,6,0.0007801489,121.84188,-0.00041158847,0.0006627422,36,0.0023008243,94.76223,-0.00019101656,0.0022928815,26,0.014298153,98.84042,-0.0021973841,0.014128294,17,0.012153847,141.14125,-0.009464141,0.0076253554,7,0.018945733,119.09442,-0.009212368,0.016555153,37,0.01116574,97.60736,-0.0014781619,0.011067465,27,0.012467161,144.47473,-0.010146515,0.007244191,18,0.026413476,102.22878,-0.0055947923,0.025814144,8,0.02630079,108.96383,-0.008546998,0.024873285,38,0.011174921,-113.39561,-0.0044373106,-0.010256175,28,0.024340766,98.82667,-0.003734988,0.0240525,19,0.014972454,109.26832,-0.004940796,0.014133751,9,0.009321516,101.57964,-0.0018711069,0.009131792,39,0.017169848,130.92937,-0.011248451,0.012972125,29
1542,1775719406317,40,0.03233718,92.852325,-0.0016091608,0.03229712,10,0.0054442305,14.1391735,0.0052792984,0.001329906,0,0.0044842986,-138.10152,-0.003337794,-0.0029946726,30,0.0007512895,21.164528,0.00070061313,0.00027125102,20,0.020767454,77.23617,0.004588213,0.020254271,11,0.012759638,85.69575,0.00095764553,0.012723651,1,0.0029228688,-150.82964,-0.0025521738,-0.0014246299,31,0.008118019,66.34357,0.0032573666,0.0074358457,21,0.015197264,95.30061,-0.0014039414,0.015132276,12,0.011400231,134.28584,-0.00796008,0.008161029,2,0.015525639,92.694595,-0.0007298954,0.015508473,32,0.019381896,162.82938,-0.018518042,0.005721889,22,0.020223347,102.56685,-0.004400166,0.019738853,13,0.013202044,95.936676,-0.0013654771,0.0131312385,3,0.0034729629,136.67955,-0.002526678,0.0023827234,33,0.0044360613,103.41942,-0.0010295104,0.0043149446,23,0.017331958,108.59977,-0.005528124,0.016426705,14,0.010117567,104.19351,-0.002480803,0.00980871,4,0.006622595,174.89404,-0.0065963147,0.0005893966,34,0.044869907,135.59834,-0.032057416,0.031394754,24,0.02159985,106.25032,-0.0060443818,0.0207369,15,0.018803367,130.96921,-0.012328492,0.014197708,5,0.0050533866,138.49734,-0.0037846079,0.0033486504,35,0.003246727,90.72292,-4.096422E-05,0.0032464685,25,0.014696759,113.28644,-0.0058100414,0.013499561,16,0.0013969926,127.33228,-0.00084718736,0.0011107934,6,0.002475677,-51.743732,0.0015328894,-0.0019440234,36,0.0064778635,101.7736,-0.0013217755,0.006341579,26,0.015206085,97.04215,-0.0018642595,0.015091374,17,0.013820529,133.36365,-0.009489539,0.01004767,7,0.021220855,115.11511,-0.009006943,0.019214569,37,0.013746129,120.40349,-0.0069567277,0.011855801,27,0.013220022,147.48409,-0.011147681,0.0071062087,18,0.023330536,106.67191,-0.006693318,0.022349795,8,0.026851369,107.11472,-0.007901981,0.025662322,38,0.011722919,-110.31097,-0.004069203,-0.010994017,28,0.025908403,100.90339,-0.004900665,0.025440693,19,0.01719675,104.869156,-0.0044129016,0.016620906,9,0.010049855,98.44062,-0.001475162,0.0099410005,39,0.039759997,152.07509,-0.03513043,0.018620161,29
1543,1775719406341,40,0.02779702,98.81632,-0.004260374,0.027468592,10,0.0047884565,28.696861,0.004200302,0.0022992992,0,0.0039678887,-110.390526,-0.0013824801,-0.003719259,30,0.00065171963,-20.107327,0.00061199756,-0.00022404802,20,0.019950993,78.99501,0.003808535,0.019584104,11,0.008847928,80.318214,0.0014880092,0.008721906,1,0.004045201,-120.09353,-0.0020283163,-0.0034999403,31,0.008428284,63.12269,0.0038102716,0.007517832,21,0.01567977,101.2977,-0.0030717724,0.0153759355,12,0.011831403,153.19963,-0.010560508,0.005334583,2,0.012170748,94.196846,-0.0008906961,0.0121381115,32,0.02719933,171.82571,-0.02692299,0.0038673296,22,0.020038031,99.49019,-0.0033038459,0.019763786,13,0.013167599,97.86415,-0.0018016539,0.013043761,3,0.004566807,123.38333,-0.0025128298,0.00381332,33,0.004584618,82.29846,0.0006143972,0.0045432625,23,0.015493926,112.42771,-0.0059112036,0.01432199,14,0.004625337,122.37446,-0.0024766384,0.0039064055,4,0.0050101145,166.85301,-0.0048787985,0.0011395499,34,0.09418194,134.2809,-0.06575562,0.06742726,24,0.019233974,106.49601,-0.005461458,0.018442295,15,0.018779965,131.93883,-0.012551344,0.013969641,5,0.0031211157,128.69865,-0.0019513973,0.0024358598,35,0.0013971725,68.81666,0.0005048731,0.001302764,25,0.016501043,108.35554,-0.005196387,0.015661482,16,0.004775207,109.1328,-0.0015651161,0.0045114313,6,0.0025737595,-6.3658624,0.00255789,-0.00028537025,36,0.0076712235,94.72365,-0.00063172396,0.0076451683,26,0.01267578,96.54534,-0.0014449055,0.0125931585,17,0.01430241,135.84883,-0.010262044,0.009962399,7,0.019304622,116.638596,-0.008655446,0.017255483,37,0.020380465,142.42651,-0.016152985,0.0124275675,27,0.013213348,148.09686,-0.011217376,0.006983053,18,0.018030329,110.9691,-0.006452413,0.016836245,8,0.026339676,103.69249,-0.0062348866,0.025591105,38,0.010629792,-102.96695,-0.0023852084,-0.0103587285,28,0.026754385,98.81904,-0.0041018277,0.026438082,19,0.016168814,105.20668,-0.004241108,0.015602678,9,0.009240479,98.17305,-0.0013136577,0.009146625,39,0.12402604,138.7658,-0.09327026,0.08175033,29
1544,1775719406365,40,0.024862632,102.195015,-0.0052519753,0.024301589,10,0.003856534,34.939537,0.00316142,0.002208682,0,0.0034278058,-80.10805,0.0005888655,-0.0033768464,30,0.002884705,-70.26519,0.00097407016,-0.0027152738,20,0.018957332,83.28369,0.0022171251,0.018827235,11,0.0071769184,85.59667,0.00055102195,0.007155734,1,0.0071208808,-103.235,-0.0016302941,-0.0069317445,31,0.008264109,44.465477,0.005897868,0.005788838,21,0.01515696,104.508064,-0.0037970652,0.014673641,12,0.012783709,153.19005,-0.011409556,0.00576587,2,0.009924467,96.96722,-0.0012038514,0.009851182,32,0.03385497,178.17296,-0.033837758,0.0010793828,22,0.01753746,99.1636,-0.0027929107,0.01731364,13,0.013353772,96.13925,-0.001428122,0.013277187,3,0.00443511,145.90022,-0.0036725479,0.0024864818,33,0.00455174,62.063576,0.0021324519,0.0040213163,23,0.013434486,115.06298,-0.0056910394,0.012169532,14,0.0060747718,-127.74135,-0.0037183547,-0.0048038205,4,0.0022567648,-160.26788,-0.0021242509,-0.00076193555,34,0.17098874,127.92063,-0.10508443,0.13488667,24,0.018490734,104.02429,-0.0044809203,0.017939582,15,0.01933985,123.632164,-0.010711551,0.016102562,5,0.0024429206,74.3133,0.00066050957,0.002351933,35,0.002109492,-51.57622,0.0013109923,-0.0016526511,25,0.020006264,103.58913,-0.0047006244,0.0194462,16,0.004682247,128.94307,-0.0029430164,0.0036417155,6,0.0037372832,7.1696134,0.0037080615,0.0004664393,36,0.0059789987,81.06026,0.00092911045,0.0059063677,26,0.0073877014,101.204796,-0.001435552,0.0072468836,17,0.01579251,131.25058,-0.010412846,0.011873332,7,0.01660757,118.14866,-0.0078348005,0.014643335,37,0.0333769,144.24658,-0.02708666,0.019502055,27,0.013267762,141.8864,-0.010438923,0.008189163,18,0.014271744,111.55392,-0.0052431053,0.013273753,8,0.019499715,97.09507,-0.0024085287,0.019350398,38,0.0108187385,-93.64581,-0.0006879468,-0.010796843,28,0.026257068,97.993675,-0.003651407,0.02600194,19,0.012668799,105.51645,-0.003389094,0.012207068,9,0.0057526086,98.68507,-0.00086866214,0.005686645,39,0.2548137,130.06737,-0.1640205,0.19500591,29
1545,1775719406390,40,0.020829424,103.048454,-0.004702762,0.020291597,10,0.00086257525,34.309837,0.0007124885,0.00048620594,0,0.0016458048,-20.44281,0.0015421542,-0.000574834,30,0.0024158529,-81.02017,0.0003770824,-0.0023862426,20,0.018140575,88.172226,0.00057859864,0.018131346,11,0.0053221565,101.99248,-0.0011058549,0.005206,1,0.009378654,-99.62513,-0.0015681216,-0.009246629,31,0.008237948,24.449398,0.0074992278,0.0034095997,21,0.014152157,107.98801,-0.004370439,0.013460416,12,0.013431425,151.0682,-0.011755132,0.006497695,2,0.011349665,98.07094,-0.0015934827,0.011237247,32,0.033195682,177.5198,-0.033164583,0.0014365092,22,0.013121138,102.10126,-0.0027507162,0.012829569,13,0.0152182905,91.6633,-0.0004417251,0.015211879,3,0.0058347043,173.15129,-0.0057930704,0.0006957777,33,0.0068553877,63.30814,0.003079386,0.006124845,23,0.011592518,115.29248,-0.004952778,0.010481243,14,0.00894803,-125.649925,-0.0052151917,-0.0072711078,4,0.0029324617,-94.83116,-0.0002469714,-0.0029220432,34,0.21761124,124.94695,-0.12465159,0.17837217,24,0.019449254,103.119804,-0.0044147465,0.018941583,15,0.024156405,115.92395,-0.010560642,0.02172567,5,0.005425536,71.148895,0.0017530447,0.005134518,35,0.0017959411,-71.36561,0.0005738537,-0.0017017921,25,0.01894619,104.467674,-0.0047333967,0.018345382,16,0.0066923876,149.854,-0.0057872324,0.0033609513,6,0.00418439,-19.08183,0.0039544688,-0.0013679534,36,0.005739099,73.151596,0.0016634231,0.0054927478,26,0.0035920586,93.83338,-0.00024014796,0.003584022,17,0.018069739,127.96915,-0.011117172,0.014245138,7,0.017335076,117.23685,-0.007933742,0.015413001,37,0.039369777,144.30354,-0.031972963,0.022971911,27,0.0116853295,139.51396,-0.008887442,0.00758685,18,0.015586331,107.565506,-0.0047038924,0.0148595795,8,0.01404574,88.26164,0.00042608386,0.014039276,38,0.009657101,-86.94842,0.0005140951,-0.009643407,28,0.023671439,102.979225,-0.0053165527,0.023066672,19,0.010096562,111.32372,-0.0036714834,0.009405359,9,0.0039436556,110.51798,-0.0013822565,0.0036934789,39,0.34515575,126.77041,-0.20661364,0.27648377,29
1546,1775719406415,40,0.018476756,105.77626,-0.005023488,0.017780751,10,0.002612588,-129.21327,-0.0016517012,-0.0020242282,0,0.0031592832,-30.113075,0.0027328967,-0.0015850381,30,0.00039070455,-162.4128,-0.0003724423,-0.00011805413,20,0.01699937,95.25906,-0.0015581476,0.01692781,11,0.0045712185,113.21194,-0.0018016696,0.004201193,1,0.010118204,-97.58186,-0.001335022,-0.010029744,31,0.0071252617,13.381733,0.006931809,0.0016490546,21,0.014709685,109.65548,-0.0049478034,0.013852583,12,0.012709487,144.17224,-0.010304602,0.0074395067,2,0.010610602,102.83957,-0.0023579083,0.010345296,32,0.024108207,172.69006,-0.023912264,0.0030674492,22,0.0100186905,107.74686,-0.0030538174,0.009541926,13,0.01531547,87.02411,0.00079511444,0.015294816,3,0.0071719065,-176.72375,-0.007160185,-0.00040987492,33,0.008933495,68.10012,0.0033320673,0.008288828,23,0.012304221,110.12525,-0.0042335577,0.011552959,14,0.0066062873,-142.47255,-0.0052391924,-0.0040241634,4,0.0037557879,-84.42702,0.00036473814,-0.0037380354,34,0.1916079,125.15299,-0.1103205,0.15666199,24,0.021390313,103.767365,-0.0050904714,0.020775769,15,0.02373613,117.99275,-0.011140786,0.020959169,5,0.006130236,62.178047,0.0028611377,0.0054215947,35,0.0015136544,178.50177,-0.0015131369,3.9576153E-05,25,0.015060558,108.04058,-0.004664112,0.014320142,16,0.0075581064,160.55562,-0.0071270308,0.00251603,6,0.002838604,-29.383957,0.002473421,-0.0013927887,36,0.0056145736,92.95183,-0.00028913008,0.005607124,26,0.0033745358,46.98185,0.0023022096,0.0024672502,17,0.018519454,127.272675,-0.011215546,0.0147370845,7,0.014737638,124.12535,-0.008267893,0.012199996,37,0.03147103,149.35951,-0.02707711,0.016039193,27,0.009537616,141.00746,-0.0074129016,0.006001251,18,0.01611295,102.53441,-0.003496928,0.01572891,8,0.011682382,78.941666,0.0022407782,0.011465468,38,0.0067777354,-75.39916,0.0017085549,-0.006558852,28,0.019852966,107.67533,-0.006027814,0.018915752,19,0.005656693,132.96396,-0.0038552529,0.004139469,9,0.0040160357,128.80658,-0.0025168224,0.00312956,39,0.32451656,125.65294,-0.18915226,0.26369002,29
