FrameSequence,TimestampUnixMs,CellCount,Pos00_Amp,Pos00_Phase,Pos00_X,Pos00_Y,Pos00_SourceChannel,Pos01_Amp,Pos01_Phase,Pos01_X,Pos01_Y,Pos01_SourceChannel,Pos02_Amp,Pos02_Phase,Pos02_X,Pos02_Y,Pos02_SourceChannel,Pos03_Amp,Pos03_Phase,Pos03_X,Pos03_Y,Pos03_SourceChannel,Pos04_Amp,Pos04_Phase,Pos04_X,Pos04_Y,Pos04_SourceChannel,Pos05_Amp,Pos05_Phase,Pos05_X,Pos05_Y,Pos05_SourceChannel,Pos06_Amp,Pos06_Phase,Pos06_X,Pos06_Y,Pos06_SourceChannel,Pos07_Amp,Pos07_Phase,Pos07_X,Pos07_Y,Pos07_SourceChannel,Pos08_Amp,Pos08_Phase,Pos08_X,Pos08_Y,Pos08_SourceChannel,Pos09_Amp,Pos09_Phase,Pos09_X,Pos09_Y,Pos09_SourceChannel,Pos10_Amp,Pos10_Phase,Pos10_X,Pos10_Y,Pos10_SourceChannel,Pos11_Amp,Pos11_Phase,Pos11_X,Pos11_Y,Pos11_SourceChannel,Pos12_Amp,Pos12_Phase,Pos12_X,Pos12_Y,Pos12_SourceChannel,Pos13_Amp,Pos13_Phase,Pos13_X,Pos13_Y,Pos13_SourceChannel,Pos14_Amp,Pos14_Phase,Pos14_X,Pos14_Y,Pos14_SourceChannel,Pos15_Amp,Pos15_Phase,Pos15_X,Pos15_Y,Pos15_SourceChannel,Pos16_Amp,Pos16_Phase,Pos16_X,Pos16_Y,Pos16_SourceChannel,Pos17_Amp,Pos17_Phase,Pos17_X,Pos17_Y,Pos17_SourceChannel,Pos18_Amp,Pos18_Phase,Pos18_X,Pos18_Y,Pos18_SourceChannel,Pos19_Amp,Pos19_Phase,Pos19_X,Pos19_Y,Pos19_SourceChannel,Pos20_Amp,Pos20_Phase,Pos20_X,Pos20_Y,Pos20_SourceChannel,Pos21_Amp,Pos21_Phase,Pos21_X,Pos21_Y,Pos21_SourceChannel,Pos22_Amp,Pos22_Phase,Pos22_X,Pos22_Y,Pos22_SourceChannel,Pos23_Amp,Pos23_Phase,Pos23_X,Pos23_Y,Pos23_SourceChannel,Pos24_Amp,Pos24_Phase,Pos24_X,Pos24_Y,Pos24_SourceChannel,Pos25_Amp,Pos25_Phase,Pos25_X,Pos25_Y,Pos25_SourceChannel,Pos26_Amp,Pos26_Phase,Pos26_X,Pos26_Y,Pos26_SourceChannel,Pos27_Amp,Pos27_Phase,Pos27_X,Pos27_Y,Pos27_SourceChannel,Pos28_Amp,Pos28_Phase,Pos28_X,Pos28_Y,Pos28_SourceChannel,Pos29_Amp,Pos29_Phase,Pos29_X,Pos29_Y,Pos29_SourceChannel,Pos30_Amp,Pos30_Phase,Pos30_X,Pos30_Y,Pos30_SourceChannel,Pos31_Amp,Pos31_Phase,Pos31_X,Pos31_Y,Pos31_SourceChannel,Pos32_Amp,Pos32_Phase,Pos32_X,Pos32_Y,Pos32_SourceChannel,Pos33_Amp,Pos33_Phase,Pos33_X,Pos33_Y,Pos33_SourceChannel,Pos34_Amp,Pos34_Phase,Pos34_X,Pos34_Y,Pos34_SourceChannel,Pos35_Amp,Pos35_Phase,Pos35_X,Pos35_Y,Pos35_SourceChannel,Pos36_Amp,Pos36_Phase,Pos36_X,Pos36_Y,Pos36_SourceChannel,Pos37_Amp,Pos37_Phase,Pos37_X,Pos37_Y,Pos37_SourceChannel,Pos38_Amp,Pos38_Phase,Pos38_X,Pos38_Y,Pos38_SourceChannel,Pos39_Amp,Pos39_Phase,Pos39_X,Pos39_Y,Pos39_SourceChannel
1,1774603068271,40,0.096668646,121.127266,-0.049971964,0.08275041,10,0.0070363097,67.36957,0.002707471,0.006494556,0,0.1038075,126.19032,-0.061295155,0.08377888,30,6.684428E-16,-94.76364,-5.551115E-17,-6.661338E-16,20,0.08447966,-67.53362,0.03228316,-0.07806799,11,0.0025305327,-22.195421,0.0023430223,-0.0009559512,1,0.0066106995,147.64386,-0.005584308,0.003537916,31,2.25914E-16,-79.38035,4.1633363E-17,-2.220446E-16,21,0.009914924,-124.31138,-0.0055889445,-0.0081895925,12,0.0033082883,155.39354,-0.0030078597,0.0013775163,2,0.0024383015,179.36272,-0.0024381506,2.7119957E-05,32,1.1110034E-15,-87.85242,4.1633363E-17,-1.110223E-15,22,0.006573513,-87.64579,0.0002700209,-0.0065679653,13,0.0032824774,93.45048,-0.00019755849,0.003276527,3,0.006130529,-143.97523,-0.0049581444,-0.0036055779,33,6.6635965E-16,-91.49174,-1.7347235E-17,-6.661338E-16,23,0.008045929,95.39361,-0.0007562956,0.0080103045,14,0.012832369,84.56778,0.001214817,0.012774737,4,0.04770358,100.065186,-0.008337085,0.0469694,34,4.441104E-16,-90.55951,-4.3368087E-18,-4.440892E-16,24,0.17145701,-52.55114,0.10425496,-0.1361191,15,0.0008765304,21.83425,0.0008136513,0.00032600164,5,0.0062758992,101.029396,-0.0012006583,0.006159978,35,8.882055E-16,-89.55238,6.938894E-18,-8.881784E-16,25,0.007060119,-91.34455,-0.00016566343,-0.007058175,16,0.0052613504,167.41167,-0.0051348736,0.0011466823,6,0.00071505975,-73.95849,0.00019759512,-0.0006872166,36,6.6614287E-16,-90.298416,-3.469447E-18,-6.661338E-16,26,0.0031059254,-96.454834,-0.00034916794,-0.003086236,17,0.006522981,-148.12013,-0.0055390373,-0.003445047,7,0.0027584934,-96.092285,-0.0002927596,-0.0027429143,37,3.3307707E-16,-90.44762,-2.6020852E-18,-3.330669E-16,27,0.005745372,-76.00644,0.0013893044,-0.0055748657,18,0.008194385,93.00074,-0.00042896636,0.00818315,8,0.011036015,78.61934,0.0021776971,0.0108190235,38,5.613218E-16,-98.53077,-8.326673E-17,-5.551115E-16,28,0.088989854,-137.12717,-0.06521759,-0.060546342,19,0.033275682,75.475334,0.008345435,0.032212183,9,0.041424725,80.68006,0.0067086187,0.040877894,39,3.3486902E-16,-95.94686,-3.469447E-17,-3.330669E-16,29
2,1774603068285,40,0.093911074,122.94747,-0.051075403,0.07880731,10,0.0016377046,28.395172,0.0014406701,0.0007788106,0,0.102023125,127.209435,-0.061696477,0.08125431,30,0.0021929198,-84.944,0.00019326073,-0.0021843873,20,0.08326146,-66.44638,0.03327187,-0.07632466,11,0.0029807545,28.065466,0.0026302494,0.0014023856,1,0.0053876685,143.90468,-0.004353441,0.0031740393,31,0.0023376707,-101.365234,-0.00046066733,-0.0022918312,21,0.013190861,-116.14258,-0.005811978,-0.0118414415,12,0.0021902157,141.84673,-0.0017223001,0.0013530438,2,0.0027655172,163.64009,-0.002653545,0.00077896356,32,0.0029707917,-80.62544,0.00048390593,-0.0029311155,22,0.009466939,-93.21677,-0.0005312241,-0.009452023,13,0.0019062457,118.97907,-0.00092355715,0.0016675775,3,0.00952385,-145.5509,-0.007853644,-0.005387392,33,0.0012747645,166.1879,-0.0012379033,0.00030433567,23,0.0058930614,108.241295,-0.0018446433,0.0055969157,14,0.007847139,87.16033,0.00038875756,0.007837503,4,0.043773636,101.54393,-0.0087599475,0.04288816,34,0.003993772,-88.21766,0.00012421694,-0.0039918395,24,0.17096478,-52.7611,0.10345758,-0.13610835,15,0.0030260386,-29.456034,0.0026348724,-0.0014880713,5,0.008563474,92.69565,-0.00040274524,0.008553998,35,0.0011224331,3.5810068,0.0011202416,7.010681E-05,25,0.0086753415,-87.23167,0.00041899915,-0.008665217,16,0.003418589,-177.88062,-0.0034162505,-0.00012642524,6,0.0020493357,-25.732306,0.001846108,-0.0008897541,36,0.0006183626,-42.23284,0.0004578477,-0.0004156294,26,0.0033442993,-71.84153,0.0010422382,-0.0031777471,17,0.004274469,-170.90518,-0.0042207306,-0.00067566044,7,0.0022251662,126.21843,-0.0013147732,0.001795198,37,0.0014581872,67.35913,0.00056133466,0.0013458134,27,0.0076884464,-83.6999,0.00084370025,-0.007642014,18,0.0076115383,88.59313,0.00018687849,0.0076092435,8,0.01125341,81.33459,0.0016954846,0.011124953,38,0.0025263035,-81.059425,0.00039261268,-0.002495609,28,0.08971165,-136.17368,-0.06472177,-0.062123045,19,0.028933976,72.52843,0.0086869225,0.027599137,9,0.03505193,81.342674,0.005276175,0.034652557,39,0.0069568143,-96.82307,-0.00082649506,-0.0069075446,29
3,1774603068299,40,0.09274686,123.49071,-0.05117788,0.0773486,10,0.0029952223,-42.486526,0.0022087854,-0.0020230236,0,0.09865127,128.17084,-0.060967296,0.077556826,30,0.00071504875,-78.11408,0.00014727404,-0.00069971784,20,0.08218821,-65.49656,0.034087382,-0.074786045,11,0.004119912,21.578955,0.0038311542,0.0015152337,1,0.004327439,105.75347,-0.0011748942,0.004164895,31,0.0018036813,-71.732,0.0005653857,-0.0017127771,21,0.013360739,-110.49991,-0.0046790093,-0.01251464,12,0.0019131559,-158.18037,-0.0017760947,-0.00071109296,2,0.003270296,-175.36626,-0.003259607,-0.00026419354,32,0.0020797173,-102.401276,-0.000446634,-0.0020311924,22,0.009209252,-93.56196,-0.0005721515,-0.009191461,13,0.0024316914,102.31904,-0.00051881373,0.002375701,3,0.01237403,-143.20451,-0.009908858,-0.007411556,33,0.0025503528,135.90833,-0.0018317334,0.001774557,23,0.0047356677,112.31644,-0.0017982349,0.0043809703,14,0.001876446,82.873024,0.00023280822,0.0018619478,4,0.039873235,102.2442,-0.0084562665,0.03896622,34,0.004453317,-83.3419,0.00051633717,-0.004423282,24,0.16773674,-52.472347,0.10217588,-0.1330252,15,0.005100278,-39.430977,0.0039394055,-0.0032394326,5,0.009050041,82.76317,0.0011400427,0.008977948,35,0.0034170893,46.39089,0.002356885,0.002474185,25,0.010113535,-88.141914,0.00032792112,-0.010108218,16,0.0030195962,160.46791,-0.0028458317,0.001009556,6,0.0010751365,-34.974876,0.0008809706,-0.00061628676,36,0.0003673718,85.66691,2.7756667E-05,0.00036632174,26,0.002699347,-23.489485,0.002475661,-0.0010759078,17,0.0034912978,-165.7302,-0.0033835764,-0.00086056406,7,0.0029578411,131.64297,-0.0019654466,0.0022103945,37,0.0038264554,84.03182,0.00039785993,0.0038057151,27,0.008089491,-97.68339,-0.0010815555,-0.008016864,18,0.006516683,77.141525,0.0014502462,0.0063532623,8,0.010000078,82.605606,0.0012869961,0.009916915,38,0.0043508867,-89.68395,2.3999595E-05,-0.0043508206,28,0.09020848,-137.71712,-0.06673913,-0.060691502,19,0.024761405,69.43023,0.008699864,0.023182742,9,0.029086078,81.36311,0.004367911,0.028756239,39,0.012331677,-89.94939,1.0894214E-05,-0.012331672,29
4,1774603068313,40,0.09312119,123.69048,-0.0516549,0.07748114,10,0.0034866964,-40.632267,0.0026460702,-0.0022705426,0,0.093792066,128.73943,-0.05869315,0.07315782,30,0.0029214385,-55.457424,0.0016565097,-0.0024064037,20,0.081434436,-65.200264,0.0341575,-0.07392451,11,0.004803062,-12.177381,0.0046949894,-0.0010131527,1,0.004116932,61.651894,0.0019548316,0.0036232255,31,0.0033817007,-5.9735065,0.0033633385,-0.00035192881,21,0.010971013,-103.634636,-0.0025861922,-0.010661836,12,0.0044369306,-124.35178,-0.002503638,-0.0036630796,2,0.0043156487,-140.89821,-0.0033490583,-0.00272188,32,0.006289695,-91.9799,-0.00021730152,-0.00628594,22,0.007692946,-89.9642,4.8064862E-06,-0.0076929447,13,0.0032964693,75.0809,0.00084869226,0.0031853463,3,0.014040673,-134.76482,-0.009887418,-0.009968925,33,0.0017906331,-107.33894,-0.00053365115,-0.0017092639,23,0.0040970934,94.81955,-0.00034422893,0.004082607,14,0.0014587997,-71.29457,0.00046784105,-0.0013817457,4,0.036954265,100.77453,-0.006908399,0.036302775,34,0.0040065027,-60.43563,0.0019768127,-0.0034848638,24,0.1644507,-52.167187,0.10086739,-0.1298838,15,0.0064871726,-47.876884,0.0043511144,-0.00481157,5,0.0067613353,72.018745,0.0020872639,0.006431095,35,0.004760666,-23.85431,0.0043539945,-0.0019252722,25,0.0077537694,-90.99382,-0.00013448567,-0.0077526034,16,0.00459207,132.68518,-0.003113284,0.003375584,6,0.0013739406,120.42987,-0.00069587806,0.0011846799,36,0.0032750445,-71.98731,0.0010127343,-0.0031145283,26,0.0034875323,-14.84486,0.003371129,-0.000893515,17,0.003607972,-125.489456,-0.0020946194,-0.0029376915,7,0.00172624,-115.09607,-0.00073216285,-0.0015632794,37,0.004033054,70.52666,0.0013444921,0.0038023505,27,0.0059618237,-100.51784,-0.0010882812,-0.005861654,18,0.0059980517,65.8336,0.0024555307,0.005472385,8,0.006423552,56.96256,0.003502037,0.0053849565,38,0.007365881,-97.649315,-0.0009804686,-0.0073003345,28,0.09197987,-138.16772,-0.06853423,-0.061346192,19,0.021390477,65.55044,0.00885335,0.019472307,9,0.022230444,77.75399,0.0047152913,0.02172461,39,0.017949399,-81.94269,0.0025158513,-0.017772207,29
5,1774603068327,40,0.09164891,123.6979,-0.050848085,0.076249555,10,0.00409022,-37.489872,0.00324543,-0.0024893945,0,0.092624165,128.43454,-0.05757704,0.07255426,30,0.002773581,-11.629003,0.0027166486,-0.00055908115,20,0.08173872,-65.460175,0.033948187,-0.07435549,11,0.0046542017,-4.4853044,0.004639948,-0.00036397437,1,0.005999137,50.896267,0.003783814,0.0046553626,31,0.0077958372,31.448715,0.006650687,0.0040673623,21,0.007943858,-85.48337,0.0006255664,-0.007919189,12,0.0027607856,-80.761894,0.00044321019,-0.0027249774,2,0.0032604856,-151.06393,-0.0028534469,-0.0015775319,32,0.0065338076,-111.63148,-0.0024085923,-0.0060736584,22,0.0079670185,-85.147545,0.0006739306,-0.007938463,13,0.0013114277,28.49087,0.0011526048,0.0006255755,3,0.013841787,-133.91243,-0.009600084,-0.009971634,33,0.0004185769,-3.6129818,0.000417745,-2.6377314E-05,23,0.0038956248,58.38203,0.0020422929,0.0033173682,14,0.0018050873,-51.392376,0.0011263448,-0.0014105629,4,0.03876499,99.716995,-0.0065428214,0.03820885,34,0.003596438,43.689102,0.002600579,0.0024842212,24,0.16310935,-52.175083,0.10002691,-0.12883818,15,0.008055772,-57.239384,0.004359222,-0.0067744106,5,0.0065906006,81.132645,0.0010159246,0.0065118284,35,0.005291835,-23.330809,0.00485914,-0.0020957745,25,0.0067327414,-83.636375,0.00074624334,-0.0066912575,16,0.0026338024,132.26932,-0.0017715388,0.0019489909,6,0.0027177078,91.478,-7.0097805E-05,0.0027168037,36,0.0030696318,-64.16956,0.001337467,-0.002762937,26,0.004694191,-29.442965,0.0040879147,-0.002307462,17,0.0009006012,-96.24952,-9.803819E-05,-0.00089524913,7,0.00026246463,-86.41693,1.6402886E-05,-0.0002619516,37,0.0052491175,48.880947,0.003451955,0.003954395,27,0.0056549218,-79.341225,0.0010459321,-0.005557352,18,0.0050179753,50.1591,0.0032148059,0.003852934,8,0.0055727074,49.565445,0.0036143414,0.0042416514,38,0.010329936,-102.56118,-0.0022465752,-0.010082682,28,0.09389739,-137.0733,-0.06875408,-0.06394996,19,0.0194615,62.387016,0.009020344,0.017244807,9,0.019165078,77.10312,0.0042775897,0.018681606,39,0.018220218,-76.547775,0.0042386507,-0.017720332,29
6,1774603068341,40,0.089036696,124.08721,-0.049900983,0.073738895,10,0.0055507547,-31.894253,0.004712728,-0.0029327588,0,0.09265836,127.93457,-0.056962766,0.07308089,30,0.0058455067,35.396782,0.0047650253,0.0033859245,20,0.08157625,-66.03146,0.033139125,-0.07454182,11,0.004829171,-5.806776,0.0048043914,-0.0004885864,1,0.010446661,53.839867,0.00616399,0.008434332,31,0.014737231,43.165806,0.010748997,0.010081915,21,0.0064848936,-57.06373,0.0035258748,-0.0054426147,12,0.0036617385,-44.237865,0.0026234514,-0.0025545706,2,0.0018625875,173.72665,-0.0018514342,0.00020352827,32,0.006731667,-147.00072,-0.0056456965,-0.0036662586,22,0.008613444,-84.62349,0.00080708106,-0.008575548,13,0.0029904523,-86.18568,0.00019893474,-0.002983828,3,0.012334203,-136.94902,-0.009013177,-0.00841993,33,0.0034589749,44.6525,0.0024606537,0.0024309854,23,0.0040609986,29.40889,0.0035376886,0.0019941083,14,0.0031256052,14.214111,0.0030299143,0.0007674803,4,0.041523725,97.28223,-0.0052634217,0.041188784,34,0.007869396,58.337532,0.004130758,0.006698077,24,0.16167068,-52.507637,0.098401785,-0.1282751,15,0.0098954635,-67.82534,0.0037348573,-0.0091635715,5,0.007135853,90.04915,-6.1215833E-06,0.0071358504,35,0.0055271606,-3.0314803,0.005519426,-0.00029230185,25,0.008251524,-72.00205,0.00254958,-0.007847756,16,0.0014169056,129.38464,-0.00089905964,0.0010951315,6,0.0028913394,62.2951,0.001344235,0.0025598586,36,0.0019345046,-46.99768,0.0013193863,-0.0014147536,26,0.0046516983,-26.548317,0.0041612126,-0.0020790873,17,0.0007580528,-20.51569,0.00070997427,-0.0002656701,7,0.0019543618,62.285473,0.00090890826,0.001730149,37,0.006192251,20.515621,0.005799518,0.0021701534,27,0.0072721713,-68.89553,0.0026184872,-0.006784394,18,0.0037313493,20.833517,0.0034873856,0.0013270684,8,0.0035425127,42.6587,0.0026051754,0.0024005119,38,0.012966678,-108.07594,-0.0040232665,-0.012326721,28,0.09493279,-135.90742,-0.06818229,-0.0660561,19,0.018635852,60.93241,0.009054061,0.016288614,9,0.019028042,75.24686,0.0048455857,0.018400723,39,0.015885126,-64.18915,0.0069164084,-0.014300368,29
7,1774603068356,40,0.08413454,126.36787,-0.049889036,0.06774736,10,0.0058001047,-41.919106,0.004315793,-0.0038749382,0,0.0905243,128.73357,-0.056641035,0.07061474,30,0.0069097453,4.851833,0.006884986,0.0005844214,20,0.08074951,-66.598755,0.032071114,-0.07410754,11,0.0061378805,-43.409576,0.004458924,-0.0042180065,1,0.011930545,56.494644,0.0065858387,0.009948096,31,0.019406531,38.151947,0.015260816,0.011988367,21,0.0074286573,-31.578907,0.0063286205,-0.0038901821,12,0.0065622614,-56.061817,0.0036636982,-0.005444317,2,0.0010943804,-179.51866,-0.0010943417,-9.193577E-06,32,0.010391105,-123.01404,-0.0056615365,-0.008713326,22,0.009199321,-80.31569,0.0015475051,-0.009068227,13,0.0063806633,-92.9639,-0.00032992326,-0.0063721277,3,0.010256111,-138.29314,-0.0076567875,-0.0068235924,33,0.0030434208,29.783852,0.0026414015,0.0015117564,23,0.003937731,-7.963748,0.0038997554,-0.0005455589,14,0.0058140727,21.455217,0.0054111793,0.0021266362,4,0.04223745,94.84974,-0.003570877,0.042086232,34,0.0083415955,43.115803,0.0060891462,0.0057012727,24,0.16088237,-53.29746,0.096153066,-0.12898731,15,0.012464382,-77.6687,0.0026619444,-0.012176816,5,0.005864084,99.973694,-0.0010156359,0.005775463,35,0.010123402,-39.906494,0.007765585,-0.006494533,25,0.007628198,-56.5283,0.0042071417,-0.0063631246,16,0.0040669623,106.01701,-0.0011221673,0.003909082,6,0.003744044,60.434402,0.0018473852,0.0032565373,36,0.0032721576,-59.88208,0.0016419075,-0.0028303985,26,0.0038947687,-32.836582,0.0032724647,-0.002111918,17,0.0039446773,-81.97228,0.0005508828,-0.0039060218,7,0.0014480334,28.709694,0.0012700192,0.0006955945,37,0.0066222977,-0.18261139,0.006622264,-2.1106353E-05,27,0.008455881,-61.33882,0.0040556863,-0.007419793,18,0.0048746783,-6.914754,0.004839222,-0.0005868746,8,0.0025866046,25.156477,0.0023412658,0.0010995446,38,0.015364903,-110.031044,-0.0052629276,-0.014435437,28,0.096654,-134.21631,-0.06740352,-0.06927309,19,0.017483082,59.275856,0.0089321975,0.015029104,9,0.019902198,74.96706,0.0051621203,0.019221082,39,0.013094126,-49.934444,0.008428213,-0.010021046,29
8,1774603068371,40,0.079423085,129.14911,-0.05014303,0.06159304,10,0.0063956096,-68.61505,0.0023320455,-0.005955282,0,0.086126566,130.80933,-0.05628748,0.06518823,30,0.005897461,15.189434,0.0056914324,0.0015452009,20,0.07834974,-66.88718,0.030755645,-0.07206089,11,0.0037226912,-37.080124,0.0029699374,-0.0022445268,1,0.009720319,59.676895,0.0049075535,0.008390501,31,0.021619247,33.787987,0.017967781,0.012022926,21,0.008968737,-1.406295,0.008966036,-0.00022011087,12,0.0069140205,-18.79668,0.0065452815,-0.0022277725,2,0.0019484689,-106.04629,-0.0005385837,-0.001872554,32,0.0072213216,-140.27806,-0.0055543156,-0.0046148747,22,0.00793332,-78.460884,0.0015869564,-0.0077729747,13,0.007843088,-95.669685,-0.0007748444,-0.0078047197,3,0.0075546647,-134.30545,-0.0052768076,-0.005406317,33,0.0057395874,38.350307,0.0045011677,0.0035612294,23,0.0039092074,-18.932951,0.003697715,-0.0012683871,14,0.00648404,2.0748875,0.006479789,0.00023475922,4,0.037293114,94.1541,-0.002701481,0.03719514,34,0.008033385,21.085112,0.0074955258,0.002890045,24,0.16048025,-54.13948,0.09401158,-0.1300605,15,0.014333079,-86.602486,0.00084942183,-0.014307887,5,0.0031668036,120.50414,-0.0016074715,0.0027284943,35,0.010345389,-34.0467,0.008571998,-0.0057920567,25,0.005931663,-20.7809,0.0055457726,-0.0021045262,16,0.002776883,92.51415,-0.00012181113,0.0027742102,6,0.00571243,72.7239,0.0016964581,0.005454712,36,0.0015855249,-12.211313,0.001549651,-0.00033536673,26,0.0037368212,-63.23634,0.001682733,-0.0033365015,17,0.002576625,-102.41934,-0.000554142,-0.0025163314,7,0.0035792205,-61.692345,0.0016972874,-0.0031511958,37,0.0072872415,-16.184315,0.0069984486,-0.0020311598,27,0.008322882,-56.0679,0.0046459157,-0.0069054924,18,0.00689054,-13.199443,0.0067084995,-0.0015733956,8,0.0037360864,-19.575535,0.003520143,-0.0012517731,38,0.017071798,-111.98984,-0.0063924007,-0.01582983,28,0.09926867,-133.1932,-0.067945495,-0.072371796,19,0.015061341,59.25976,0.007698554,0.012945125,9,0.01946274,76.19225,0.0046450696,0.018900305,39,0.011749913,-50.947308,0.007402855,-0.009124593,29
9,1774603068386,40,0.07490016,130.36497,-0.04850941,0.057068996,10,0.0076285927,-66.670746,0.0030210323,-0.007004912,0,0.08402284,131.69937,-0.05589386,0.062735274,30,0.004909862,-18.575474,0.004654082,-0.0015640542,20,0.07637898,-67.27095,0.02951083,-0.070447564,11,0.0025564115,-45.759636,0.0017835316,-0.0018314626,1,0.009904712,69.69531,0.0034370583,0.0092892395,31,0.024090057,35.177345,0.019690556,0.013878504,21,0.012559573,28.077658,0.011081443,0.0059113875,12,0.00849927,-3.5967505,0.008482529,-0.0005331925,2,0.0014981828,-75.046776,0.00038657666,-0.0014474496,32,0.007057181,-110.868835,-0.0025139784,-0.006594219,22,0.006500406,-81.00675,0.0010161309,-0.006420495,13,0.0062971585,-87.26358,0.00030063465,-0.006289978,3,0.004903341,-117.31638,-0.0022501608,-0.0043565505,33,0.007190771,13.538365,0.0069909636,0.0016833335,23,0.0043881815,-12.293713,0.004287556,-0.00093434553,14,0.008649165,-25.104418,0.00783213,-0.0036695744,4,0.027556542,93.95741,-0.001901813,0.027490837,34,0.009154419,-13.298437,0.008908945,-0.0021057287,24,0.16048746,-55.012238,0.092023745,-0.13148329,15,0.017142639,-88.06168,0.0005798239,-0.01713283,5,0.0016857489,127.196434,-0.0010191188,0.0013428128,35,0.015853379,-39.57698,0.012219297,-0.010100415,25,0.006538674,2.6529777,0.0065316656,0.0003026533,16,0.004459441,72.980446,0.0013052697,0.0042641396,6,0.0055752303,78.00327,0.0011588437,0.005453464,36,0.0049425643,-36.996296,0.0039474997,-0.0029742545,26,0.004316226,-71.58085,0.0013637814,-0.004095108,17,0.0047800564,-109.57899,-0.001601826,-0.0045036757,7,0.006932456,-64.57256,0.0029765721,-0.0062609077,37,0.010425834,-33.934223,0.008650096,-0.005820126,27,0.009358273,-59.93322,0.004688579,-0.008099043,18,0.008745305,-18.001286,0.008317219,-0.0027026348,8,0.010764932,-57.69476,0.005753099,-0.00909866,38,0.016403724,-111.392296,-0.005983284,-0.015273586,28,0.10185462,-132.632,-0.06898482,-0.07493637,19,0.011984662,61.374317,0.005741677,0.010519757,9,0.016503181,77.48773,0.0035753911,0.016111225,39,0.011344925,-59.121777,0.0058223866,-0.009736896,29
10,1774603068402,40,0.07072437,130.41219,-0.04584932,0.053849567,10,0.010035485,-50.206238,0.0064229714,-0.0077107972,0,0.08512846,131.40186,-0.056298528,0.06385397,30,0.0023639582,57.310947,0.0012767254,0.0019895402,20,0.07500844,-67.872635,0.028253179,-0.06948398,11,0.0037634287,-71.98817,0.0011637027,-0.003578993,1,0.013168017,79.02006,0.0025080503,0.012926962,31,0.02645749,47.46496,0.017886348,0.019495573,21,0.01702499,45.516773,0.011929418,0.012146574,12,0.009204558,-3.5574012,0.009186822,-0.0005711288,2,0.00271899,73.67066,0.000764466,0.00260931,32,0.0028824816,150.10681,-0.0024989848,0.0014365844,22,0.006276133,-85.719444,0.00046845252,-0.0062586255,13,0.005100748,-72.57863,0.0015271471,-0.0048667705,3,0.004939179,-107.790665,-0.0015091174,-0.0047029834,33,0.009531823,42.943268,0.006977567,0.0064937817,23,0.005445337,-10.8956175,0.0053471746,-0.0010292793,14,0.011994321,-43.055946,0.008764099,-0.008188669,4,0.02228346,95.43965,-0.002112412,0.022183107,34,0.0064000627,17.70692,0.0060968585,0.0019465671,24,0.15961531,-55.75833,0.0898131,-0.13194944,15,0.020590713,-88.28345,0.0006167947,-0.020581473,5,0.0037956196,106.37931,-0.001070346,0.0036415777,35,0.010909734,-9.911236,0.010746913,-0.0018778082,25,0.006445608,-12.16335,0.0063009094,-0.0013580866,16,0.0063842633,75.48386,0.0016002337,0.0061804587,6,0.0032388126,84.923065,0.0002866134,0.003226106,36,0.003836102,37.6451,0.0030374608,0.0023429708,26,0.004378275,-53.45466,0.002607082,-0.0035174445,17,0.009251513,-102.99135,-0.0020797763,-0.009014711,7,0.004888992,-67.230034,0.0018921976,-0.0045079743,37,0.0059052543,-48.627098,0.0039031194,-0.0044314433,27,0.010799062,-70.90896,0.003532051,-0.010205115,18,0.009924964,-24.01307,0.009065985,-0.0040389146,8,0.0130300615,-66.77265,0.005138803,-0.011973939,38,0.013414771,-127.00028,-0.008073264,-0.010713473,28,0.10253743,-132.35298,-0.06907908,-0.075776026,19,0.010227158,69.63638,0.0035588138,0.009587992,9,0.015346134,88.227104,0.00047477862,0.015338788,39,0.0015462352,-119.04064,-0.00075058884,-0.0013518357,29
